時間軸,コード,銘柄名,シグナル種別,シグナル名,スコア,継続,詳細
日足,3103,ユニチカ,買い,パラボリックSAR 反転 (買い),2,1,SARが株価の下側に移動 — トレンド転換（買い）
日足,3315,日本コークス工業,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
日足,3315,日本コークス工業,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,3315,日本コークス工業,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
日足,3315,日本コークス工業,買い,パラボリックSAR 反転 (買い),2,1,SARが株価の下側に移動 — トレンド転換（買い）
日足,3315,日本コークス工業,買い,明けの明星,3,1,大陰線→小実体→大陽線 — 劇的な強気反転
日足,3315,日本コークス工業,買い,出来高急増（陽線）,2,1,出来高が20日平均の2.8倍（陽線）— 買い集め
日足,3350,メタプラネット,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
日足,3436,ＳＵＭＣＯ,買い,パーフェクトオーダー (強気),3,3,短期>中期>長期、3本すべて上昇中
日足,4005,住友化学,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,4005,住友化学,買い,明けの明星,3,1,大陰線→小実体→大陽線 — 劇的な強気反転
日足,4062,イビデン,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,4062,イビデン,買い,出来高急増（陽線）,2,1,出来高が20日平均の2.5倍（陽線）— 買い集め
日足,4063,信越化学工業,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,4188,三菱ケミカルグループ,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,4307,野村総合研究所,買い,窓開け上昇（ギャップアップ）,1,1,前日高値を上回る位置から寄付き（ギャップ +0.9%）
日足,4503,アステラス製薬,買い,パーフェクトオーダー (強気),3,4,短期>中期>長期、3本すべて上昇中
日足,4506,住友ファーマ,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,4506,住友ファーマ,買い,赤三兵,3,1,3日連続の陽線（短いヒゲ）— 強力な上昇トレンド
日足,4564,オンコセラピー・サイエンス,買い,ゴールデンクロス (短期/中期),2,1,SMA5がSMA25を上抜け
日足,4564,オンコセラピー・サイエンス,買い,パラボリックSAR 反転 (買い),2,1,SARが株価の下側に移動 — トレンド転換（買い）
日足,4596,窪田製薬ホールディングス,買い,パーフェクトオーダー (強気),3,2,短期>中期>長期、3本すべて上昇中
日足,4596,窪田製薬ホールディングス,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
日足,4755,楽天グループ,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,4755,楽天グループ,買い,RSI 売られすぎ反転,2,1,RSI(14)が30.1へ上昇（30以下から反転）
日足,4755,楽天グループ,買い,ADX トレンド発生,1,1,ADX(14)が25.2へ上昇（25超え＝強いトレンド開始）
日足,5016,ＪＸ金属,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,5020,ＥＮＥＯＳホールディングス,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,5020,ＥＮＥＯＳホールディングス,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,5401,日本製鉄,買い,RSI ダイバージェンス (強気),3,1,株価が安値圏だがRSIは上昇（反転示唆）
日足,5401,日本製鉄,買い,リバーサル・デー（強気）,2,1,前日の高安を包み込み陽線引け — 外側日反転
日足,5713,住友金属鉱山,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,5802,住友電気工業,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,5803,フジクラ,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,5838,楽天銀行,買い,騰落率オーバーシュート (下方),1,2,5日MA乖離率 -17.4% — 売られすぎ（反発注意）
日足,6140,旭ダイヤモンド工業,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,6140,旭ダイヤモンド工業,買い,出来高急増（陽線）,2,1,出来高が20日平均の2.5倍（陽線）— 買い集め
日足,6594,ニデック,買い,パーフェクトオーダー (強気),3,3,短期>中期>長期、3本すべて上昇中
日足,6594,ニデック,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
日足,6701,日本電気,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
日足,6701,日本電気,買い,窓開け上昇（ギャップアップ）,1,1,前日高値を上回る位置から寄付き（ギャップ +1.7%）
日足,6723,ルネサスエレクトロニクス,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,6740,ジャパンディスプレイ,買い,パーフェクトオーダー (強気),3,2,短期>中期>長期、3本すべて上昇中
日足,6752,パナソニック　ホールディングス,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,6758,ソニーグループ,買い,パラボリックSAR 反転 (買い),2,1,SARが株価の下側に移動 — トレンド転換（買い）
日足,6758,ソニーグループ,買い,窓開け上昇（ギャップアップ）,1,1,前日高値を上回る位置から寄付き（ギャップ +3.9%）
日足,6775,ＴＢグループ,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,6857,アドバンテスト,買い,パーフェクトオーダー (強気),3,3,短期>中期>長期、3本すべて上昇中
日足,6981,村田製作所,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,6993,大黒屋ホールディングス,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,7011,三菱重工業,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
日足,7013,ＩＨＩ,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,7013,ＩＨＩ,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,7182,ゆうちょ銀行,買い,パーフェクトオーダー (強気),3,2,短期>中期>長期、3本すべて上昇中
日足,7203,トヨタ自動車,買い,パーフェクトオーダー (強気),3,3,短期>中期>長期、3本すべて上昇中
日足,7211,三菱自動車工業,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,7267,本田技研工業,買い,グランビルの法則 (買い第1法則),3,1,価格がSMA75を下から上抜け（長期MA転換）
日足,7267,本田技研工業,買い,終値がSMA長期を上抜け,2,1,終値がSMA75を下から上へ突破
日足,7532,パン・パシフィック・インターナショナルホールディングス,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,7974,任天堂,買い,パラボリックSAR 反転 (買い),2,1,SARが株価の下側に移動 — トレンド転換（買い）
日足,8001,伊藤忠商事,買い,パーフェクトオーダー (強気),3,4,短期>中期>長期、3本すべて上昇中
日足,8058,三菱商事,買い,パーフェクトオーダー (強気),3,4,短期>中期>長期、3本すべて上昇中
日足,8316,三井住友フィナンシャルグループ,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,8411,みずほフィナンシャルグループ,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,8729,ソニーフィナンシャルグループ,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,8729,ソニーフィナンシャルグループ,買い,終値がSMA長期を上抜け,2,1,終値がSMA75を下から上へ突破
日足,8750,第一生命ホールディングス,買い,パーフェクトオーダー (強気),3,2,短期>中期>長期、3本すべて上昇中
日足,8750,第一生命ホールディングス,買い,パラボリックSAR 反転 (買い),2,1,SARが株価の下側に移動 — トレンド転換（買い）
日足,8801,三井不動産,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,8918,ランド,買い,グランビルの法則 (買い第1法則),3,1,価格がSMA75を下から上抜け（長期MA転換）
日足,8918,ランド,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,8918,ランド,買い,終値がSMA長期を上抜け,2,1,終値がSMA75を下から上へ突破
日足,8918,ランド,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
日足,8918,ランド,買い,明けの明星,3,1,大陰線→小実体→大陽線 — 劇的な強気反転
日足,9432,ＮＴＴ,買い,RSI ダイバージェンス (強気),3,2,株価が安値圏だがRSIは上昇（反転示唆）
日足,9434,ソフトバンク,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,9434,ソフトバンク,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
日足,9501,東京電力ホールディングス,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,9980,ＭＲＫホールディングス,買い,パーフェクトオーダー (強気),3,2,短期>中期>長期、3本すべて上昇中
日足,9980,ＭＲＫホールディングス,買い,ADX トレンド発生,1,1,ADX(14)が30.7へ上昇（25超え＝強いトレンド開始）
日足,9980,ＭＲＫホールディングス,買い,窓開け上昇（ギャップアップ）,1,2,前日高値を上回る位置から寄付き（ギャップ +3.3%）
日足,1803,清水建設,売り,RSI ダイバージェンス (弱気),-3,1,株価が高値圏だがRSIは下落（反転示唆）
日足,1803,清水建設,売り,十字線（天井圏）,-1,1,始値≒終値、長いヒゲ — upトレンドの転換を暗示
日足,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +33.0% — 過熱感（反落注意）
日足,2502,アサヒグループホールディングス,売り,終値がSMA短期を下抜け,-1,1,終値がSMA5を上から下へ突破
日足,2502,アサヒグループホールディングス,売り,RSI ダイバージェンス (弱気),-3,1,株価が高値圏だがRSIは下落（反転示唆）
日足,2502,アサヒグループホールディングス,売り,窓埋め（上昇後）,-1,1,上昇ギャップが埋められた — 上昇の否定・戻り売り
日足,3070,ジェリービーンズグループ,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +14.1% — 過熱感（反落注意）
日足,3103,ユニチカ,売り,騰落率オーバーシュート (上方),-1,2,5日MA乖離率 +26.6% — 過熱感（反落注意）
日足,3315,日本コークス工業,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +10.1% — 過熱感（反落注意）
日足,4307,野村総合研究所,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +10.7% — 過熱感（反落注意）
日足,4506,住友ファーマ,売り,デッドクロス (短期/中期),-2,1,SMA5がSMA25を下抜け
日足,4596,窪田製薬ホールディングス,売り,騰落率オーバーシュート (上方),-1,2,5日MA乖離率 +10.4% — 過熱感（反落注意）
日足,4597,ソレイジア・ファーマ,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +13.5% — 過熱感（反落注意）
日足,4704,トレンドマイクロ,売り,パーフェクトオーダー (弱気),-3,4,短期<中期<長期、3本すべて下落中
日足,4704,トレンドマイクロ,売り,出来高急増（陰線）,-2,1,出来高が20日平均の5.5倍（陰線）— 投げ売り
日足,4755,楽天グループ,売り,パーフェクトオーダー (弱気),-3,5,短期<中期<長期、3本すべて下落中
日足,5016,ＪＸ金属,売り,ボリンジャー上限反落,-2,1,終値がBB+2σ以上から反落 — 買われすぎ反転
日足,5020,ＥＮＥＯＳホールディングス,売り,RSI ダイバージェンス (弱気),-3,1,株価が高値圏だがRSIは下落（反転示唆）
日足,5713,住友金属鉱山,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +11.8% — 過熱感（反落注意）
日足,5802,住友電気工業,売り,パラボリックSAR 反転 (売り),-2,1,SARが株価の上側に移動 — トレンド転換（売り）
日足,5803,フジクラ,売り,ボリンジャー上限反落,-2,1,終値がBB+2σ以上から反落 — 買われすぎ反転
日足,5838,楽天銀行,売り,デッドクロス (短期/中期),-2,1,SMA5がSMA25を下抜け
日足,5838,楽天銀行,売り,出来高急増（陰線）,-2,2,出来高が20日平均の4.7倍（陰線）— 投げ売り
日足,5838,楽天銀行,売り,窓開け下落（ギャップダウン）,-1,2,前日安値を下回る位置から寄付き（ギャップ -2.6%）
日足,6140,旭ダイヤモンド工業,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +18.6% — 過熱感（反落注意）
日足,6702,富士通,売り,パーフェクトオーダー (弱気),-3,5,短期<中期<長期、3本すべて下落中
日足,6740,ジャパンディスプレイ,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +12.0% — 過熱感（反落注意）
日足,6752,パナソニック　ホールディングス,売り,RSI ダイバージェンス (弱気),-3,1,株価が高値圏だがRSIは下落（反転示唆）
日足,6752,パナソニック　ホールディングス,売り,十字線（天井圏）,-1,1,始値≒終値、長いヒゲ — upトレンドの転換を暗示
日足,6762,ＴＤＫ,売り,RSI ダイバージェンス (弱気),-3,2,株価が高値圏だがRSIは下落（反転示唆）
日足,6857,アドバンテスト,売り,終値がSMA短期を下抜け,-1,1,終値がSMA5を上から下へ突破
日足,6857,アドバンテスト,売り,窓開け下落（ギャップダウン）,-1,1,前日安値を下回る位置から寄付き（ギャップ -0.7%）
日足,7201,日産自動車,売り,MACD デッドクロス,-2,1,MACD線がシグナル線を下抜け — 下落モメンタム
日足,7203,トヨタ自動車,売り,窓埋め（上昇後）,-1,1,上昇ギャップが埋められた — 上昇の否定・戻り売り
日足,7974,任天堂,売り,十字線（天井圏）,-1,1,始値≒終値、長いヒゲ — upトレンドの転換を暗示
日足,8801,三井不動産,売り,RSI ダイバージェンス (弱気),-3,1,株価が高値圏だがRSIは下落（反転示唆）
日足,8918,ランド,売り,RSI ダイバージェンス (弱気),-3,1,株価が高値圏だがRSIは下落（反転示唆）
日足,9023,東京地下鉄,売り,終値がSMA短期を下抜け,-1,1,終値がSMA5を上から下へ突破
日足,9023,東京地下鉄,売り,出来高急増（陰線）,-2,1,出来高が20日平均の7.5倍（陰線）— 投げ売り
日足,9143,ＳＧホールディングス,売り,RSI ダイバージェンス (弱気),-3,2,株価が高値圏だがRSIは下落（反転示唆）
日足,9434,ソフトバンク,売り,RSI ダイバージェンス (弱気),-3,1,株価が高値圏だがRSIは下落（反転示唆）
日足,9980,ＭＲＫホールディングス,売り,騰落率オーバーシュート (上方),-1,2,5日MA乖離率 +25.9% — 過熱感（反落注意）
日足,9980,ＭＲＫホールディングス,売り,出来高急増（陰線）,-2,1,出来高が20日平均の12.7倍（陰線）— 投げ売り
週足,285A,キオクシアホールディングス,買い,パーフェクトオーダー (強気),3,11,短期>中期>長期、3本すべて上昇中
週足,3103,ユニチカ,買い,パーフェクトオーダー (強気),3,16,短期>中期>長期、3本すべて上昇中
週足,3103,ユニチカ,買い,出来高急増（陽線）,2,1,出来高が20日平均の3.2倍（陽線）— 買い集め
週足,3350,メタプラネット,買い,RSI ダイバージェンス (強気),3,1,株価が安値圏だがRSIは上昇（反転示唆）
週足,4005,住友化学,買い,パーフェクトオーダー (強気),3,7,短期>中期>長期、3本すべて上昇中
週足,4506,住友ファーマ,買い,カラカサ / ハンマー,2,1,長い下ヒゲ＋小実体 — 底打ちシグナル
週足,4582,シンバイオ製薬,買い,出来高急増（陽線）,2,2,出来高が20日平均の6.3倍（陽線）— 買い集め
週足,4596,窪田製薬ホールディングス,買い,パーフェクトオーダー (強気),3,3,短期>中期>長期、3本すべて上昇中
週足,4596,窪田製薬ホールディングス,買い,出来高急増（陽線）,2,6,出来高が20日平均の2.3倍（陽線）— 買い集め
週足,4597,ソレイジア・ファーマ,買い,グランビルの法則 (買い第1法則),3,1,価格がSMA52を下から上抜け（長期MA転換）
週足,4597,ソレイジア・ファーマ,買い,終値がSMA長期を上抜け,2,1,終値がSMA52を下から上へ突破
週足,4689,ＬＩＮＥヤフー,買い,ボリンジャー下限反発,2,1,終値がBB-2σ以下から反発 — 売られすぎ反転
週足,4689,ＬＩＮＥヤフー,買い,包み足（陽線）,2,1,前日陰線を当日陽線が完全に包み込み — 強気反転
週足,5016,ＪＸ金属,買い,窓開け上昇（ギャップアップ）,1,1,前日高値を上回る位置から寄付き（ギャップ +1.6%）
週足,5401,日本製鉄,買い,パーフェクトオーダー (強気),3,15,短期>中期>長期、3本すべて上昇中
週足,5803,フジクラ,買い,パーフェクトオーダー (強気),3,4,短期>中期>長期、3本すべて上昇中
週足,5803,フジクラ,買い,窓開け上昇（ギャップアップ）,1,1,前日高値を上回る位置から寄付き（ギャップ +1.0%）
週足,6140,旭ダイヤモンド工業,買い,パーフェクトオーダー (強気),3,8,短期>中期>長期、3本すべて上昇中
週足,6140,旭ダイヤモンド工業,買い,出来高急増（陽線）,2,1,出来高が20日平均の7.5倍（陽線）— 買い集め
週足,6501,日立製作所,買い,パーフェクトオーダー (強気),3,18,短期>中期>長期、3本すべて上昇中
週足,6501,日立製作所,買い,終値がSMA短期を上抜け,1,1,終値がSMA13を下から上へ突破
週足,6701,日本電気,買い,ボリンジャー下限反発,2,1,終値がBB-2σ以下から反発 — 売られすぎ反転
週足,6701,日本電気,買い,包み足（陽線）,2,1,前日陰線を当日陽線が完全に包み込み — 強気反転
週足,6701,日本電気,買い,出来高急増（陽線）,2,1,出来高が20日平均の2.5倍（陽線）— 買い集め
週足,6701,日本電気,買い,リバーサル・デー（強気）,2,1,前日の高安を包み込み陽線引け — 外側日反転
週足,6702,富士通,買い,出来高急増（陽線）,2,1,出来高が20日平均の2.6倍（陽線）— 買い集め
週足,6740,ジャパンディスプレイ,買い,パーフェクトオーダー (強気),3,8,短期>中期>長期、3本すべて上昇中
週足,6758,ソニーグループ,買い,包み足（陽線）,2,1,前日陰線を当日陽線が完全に包み込み — 強気反転
週足,6758,ソニーグループ,買い,リバーサル・デー（強気）,2,1,前日の高安を包み込み陽線引け — 外側日反転
週足,6981,村田製作所,買い,パーフェクトオーダー (強気),3,3,短期>中期>長期、3本すべて上昇中
週足,6981,村田製作所,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
週足,7011,三菱重工業,買い,パーフェクトオーダー (強気),3,4,短期>中期>長期、3本すべて上昇中
週足,7013,ＩＨＩ,買い,パーフェクトオーダー (強気),3,25,短期>中期>長期、3本すべて上昇中
週足,7201,日産自動車,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
週足,7203,トヨタ自動車,買い,パーフェクトオーダー (強気),3,22,短期>中期>長期、3本すべて上昇中
週足,7267,本田技研工業,買い,終値がSMA短期を上抜け,1,1,終値がSMA13を下から上へ突破
週足,8001,伊藤忠商事,買い,パーフェクトオーダー (強気),3,28,短期>中期>長期、3本すべて上昇中
週足,8306,三菱ＵＦＪフィナンシャル・グループ,買い,パーフェクトオーダー (強気),3,28,短期>中期>長期、3本すべて上昇中
週足,8316,三井住友フィナンシャルグループ,買い,パーフェクトオーダー (強気),3,28,短期>中期>長期、3本すべて上昇中
週足,8411,みずほフィナンシャルグループ,買い,パーフェクトオーダー (強気),3,28,短期>中期>長期、3本すべて上昇中
週足,8918,ランド,買い,終値がSMA短期を上抜け,1,1,終値がSMA13を下から上へ突破
週足,8918,ランド,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
週足,8918,ランド,買い,たくり線,2,1,下落トレンドで非常に長い下ヒゲ＋極小実体 — 反転示唆
週足,9432,ＮＴＴ,買い,終値がSMA長期を上抜け,2,1,終値がSMA52を下から上へ突破
週足,9432,ＮＴＴ,買い,はらみ足（陽はらみ）,1,1,大陰線の実体内に小陽線が収まる — 売り圧力枯渇
週足,285A,キオクシアホールディングス,売り,十字線（天井圏）,-1,1,始値≒終値、長いヒゲ — upトレンドの転換を暗示
週足,3103,ユニチカ,売り,騰落率オーバーシュート (上方),-1,8,5日MA乖離率 +58.6% — 過熱感（反落注意）
週足,3350,メタプラネット,売り,パーフェクトオーダー (弱気),-3,5,短期<中期<長期、3本すべて下落中
週足,3697,ＳＨＩＦＴ,売り,パーフェクトオーダー (弱気),-3,11,短期<中期<長期、3本すべて下落中
週足,4564,オンコセラピー・サイエンス,売り,パーフェクトオーダー (弱気),-3,1,短期<中期<長期、3本すべて下落中
週足,4582,シンバイオ製薬,売り,騰落率オーバーシュート (上方),-1,2,5日MA乖離率 +40.4% — 過熱感（反落注意）
週足,4596,窪田製薬ホールディングス,売り,騰落率オーバーシュート (上方),-1,6,5日MA乖離率 +32.7% — 過熱感（反落注意）
週足,4597,ソレイジア・ファーマ,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +18.6% — 過熱感（反落注意）
週足,4689,ＬＩＮＥヤフー,売り,パーフェクトオーダー (弱気),-3,8,短期<中期<長期、3本すべて下落中
週足,5016,ＪＸ金属,売り,騰落率オーバーシュート (上方),-1,3,5日MA乖離率 +30.1% — 過熱感（反落注意）
週足,5401,日本製鉄,売り,終値がSMA短期を下抜け,-1,1,終値がSMA13を上から下へ突破
週足,5401,日本製鉄,売り,MACD デッドクロス,-2,1,MACD線がシグナル線を下抜け — 下落モメンタム
週足,5401,日本製鉄,売り,パラボリックSAR 反転 (売り),-2,1,SARが株価の上側に移動 — トレンド転換（売り）
週足,5401,日本製鉄,売り,出来高急増（陰線）,-2,1,出来高が20日平均の2.0倍（陰線）— 投げ売り
週足,5803,フジクラ,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +18.0% — 過熱感（反落注意）
週足,6140,旭ダイヤモンド工業,売り,騰落率オーバーシュート (上方),-1,3,5日MA乖離率 +43.5% — 過熱感（反落注意）
週足,6701,日本電気,売り,デッドクロス (短期/中期),-2,1,SMA13がSMA26を下抜け
週足,6702,富士通,売り,終値がSMA長期を下抜け,-2,1,終値がSMA52を上から下へ突破
週足,6740,ジャパンディスプレイ,売り,騰落率オーバーシュート (上方),-1,1,5日MA乖離率 +18.6% — 過熱感（反落注意）
週足,6981,村田製作所,売り,騰落率オーバーシュート (上方),-1,2,5日MA乖離率 +18.1% — 過熱感（反落注意）
週足,7013,ＩＨＩ,売り,ボリンジャー上限反落,-2,1,終値がBB+2σ以上から反落 — 買われすぎ反転
週足,8306,三菱ＵＦＪフィナンシャル・グループ,売り,パラボリックSAR 反転 (売り),-2,1,SARが株価の上側に移動 — トレンド転換（売り）
週足,8316,三井住友フィナンシャルグループ,売り,RSI ダイバージェンス (弱気),-3,2,株価が高値圏だがRSIは下落（反転示唆）
週足,8411,みずほフィナンシャルグループ,売り,パラボリックSAR 反転 (売り),-2,1,SARが株価の上側に移動 — トレンド転換（売り）
週足,8918,ランド,売り,十字線（天井圏）,-1,2,始値≒終値、長いヒゲ — upトレンドの転換を暗示
週足,8918,ランド,売り,首吊り線,-2,1,上昇トレンドで長い下ヒゲ＋極小実体 — 天井示唆
週足,9432,ＮＴＴ,売り,デッドクロス (短期/中期),-2,1,SMA13がSMA26を下抜け
週足,9984,ソフトバンクグループ,売り,終値がSMA短期を下抜け,-1,1,終値がSMA13を上から下へ突破
月足,3103,ユニチカ,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,3103,ユニチカ,買い,出来高急増（陽線）,2,2,出来高が20日平均の6.9倍（陽線）— 買い集め
月足,3350,メタプラネット,買い,騰落率オーバーシュート (下方),1,1,5日MA乖離率 -21.1% — 売られすぎ（反発注意）
月足,4005,住友化学,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,4506,住友ファーマ,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,4506,住友ファーマ,買い,出来高急増（陽線）,2,1,出来高が20日平均の2.0倍（陽線）— 買い集め
月足,4564,オンコセラピー・サイエンス,買い,十字線（底値圏）,1,2,始値≒終値、長いヒゲ — downトレンドの転換を暗示
月足,4582,シンバイオ製薬,買い,終値がSMA短期を上抜け,1,1,終値がSMA6を下から上へ突破
月足,4582,シンバイオ製薬,買い,RSI 売られすぎ反転,2,1,RSI(14)が41.9へ上昇（30以下から反転）
月足,4582,シンバイオ製薬,買い,パラボリックSAR 反転 (買い),2,1,SARが株価の下側に移動 — トレンド転換（買い）
月足,4582,シンバイオ製薬,買い,出来高急増（陽線）,2,1,出来高が20日平均の8.3倍（陽線）— 買い集め
月足,4582,シンバイオ製薬,買い,リバーサル・デー（強気）,2,1,前日の高安を包み込み陽線引け — 外側日反転
月足,4596,窪田製薬ホールディングス,買い,ゴールデンクロス (中期/長期),3,1,SMA12がSMA24を上抜け
月足,4596,窪田製薬ホールディングス,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,4596,窪田製薬ホールディングス,買い,パラボリックSAR 反転 (買い),2,1,SARが株価の下側に移動 — トレンド転換（買い）
月足,4596,窪田製薬ホールディングス,買い,出来高急増（陽線）,2,2,出来高が20日平均の6.0倍（陽線）— 買い集め
月足,4597,ソレイジア・ファーマ,買い,終値がSMA短期を上抜け,1,1,終値がSMA6を下から上へ突破
月足,4597,ソレイジア・ファーマ,買い,明けの明星,3,1,大陰線→小実体→大陽線 — 劇的な強気反転
月足,4755,楽天グループ,買い,騰落率オーバーシュート (下方),1,1,5日MA乖離率 -12.3% — 売られすぎ（反発注意）
月足,5401,日本製鉄,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
月足,5803,フジクラ,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
